"No	",Date of Application,Product Name (Active Ingredient),Target Pest or Disease,Weather Conditions,Rate Used,Operator Name,Pre-Harvest Interval
1,24/07/2025,Phosphorous,Cassava Mossaic,Rainy,24,John,7.2
2,24/07/2025,Sulphur,Moulds,Sunny,21,Jack,5.3
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,30/07/2025,Manure,Polds,Cloudy,21,John,7.2
16,27/07/2025,Savita,Cassava Mossaic,Rainy,21,John,7.2
17,27/07/2025,Hollarific,Blackness,Windy,21,Mike,4.8
